voterid,urbanicity,date_of_birth,gender,married,homeowner,has_children,zipcode,modeled_charitable_giving,household_income,unaffiliated_voter,modeled_activist_score,modeled_turnout_score,discretionary_income_level,nonsaver_level,modeled_partisan_score,survey_respondent,liberal_cause_donation,ntile
19053,Suburban,1961,M,1,1,,5346,7,58000,1,36.5,86.3,10,7,94.2,0,,1
13944,Urban,1959,M,0,,,4124,9,57000,1,19,85.8,7,7,94.2,0,,1
11331,Suburban,1964,M,1,1,,3308,6,55000,1,42.6,85.1,7,4,94.2,0,,1
5111,Suburban,1964,M,1,1,,5370,8,68000,1,65.2,84.9,3,7,94.2,0,,2
13438,Rural,1984,F,1,1,,3839,7,64000,1,32.8,83.9,6,7,94.2,0,,2
16203,Rural,1950,F,1,0,,4804,6,44000,1,67.9,83.7,8,4,94.2,0,,2
15108,Rural,1971,F,0,0,,3057,,76000,1,47.8,83.4,5,,94.2,0,,2
13860,Rural,1956,M,0,1,,5767,,18000,1,58.9,80.9,11,,94.2,0,,2
9714,Suburban,1946,M,1,1,,4645,,13000,1,39.5,79.9,11,1,94.2,0,,2
3055,Rural,1967,M,1,,,5657,,11000,1,25.3,78.7,11,1,94.2,1,4,2
8226,Urban,1968,M,0,1,,4131,8,39000,1,20.9,76,8,4,94.2,0,,2
4860,Suburban,1970,,1,,,3129,,,1,62.9,73.1,,,94.2,0,,2
2939,Suburban,1960,M,1,1,1,4248,5,107000,1,68.7,96.7,4,9,94.3,1,36,1
3749,Rural,1955,M,1,,,3780,8,52000,1,52.4,96.5,5,3,94.3,1,56,1
9140,Suburban,1962,M,1,1,1,3029,2,121000,1,50.5,95.3,3,8,94.3,0,,1
18798,Suburban,1969,M,1,1,,4011,9,81000,1,45.1,95.1,4,9,94.3,0,,1
8017,Rural,1934,F,0,1,,3312,8,71000,1,54.6,94.9,5,7,94.3,0,,1
19980,Rural,1947,F,1,1,,4272,10,29000,1,64.9,93.2,7,3,94.3,0,,1
1300,Rural,1946,F,0,1,,5890,,11000,1,77.7,92.7,11,1,94.3,1,12,1
3670,Urban,1933,M,1,,,4117,9,42000,1,83.8,91.9,8,2,94.3,1,24,1
10154,Suburban,1969,M,0,1,,3532,1,228000,1,48.3,89.9,2,10,94.3,0,,1
5688,Suburban,1948,M,1,1,,4075,9,71000,1,67.6,89.9,4,8,94.3,0,,1
5751,Rural,1958,F,1,1,,3902,,17000,1,69,89.1,10,1,94.3,0,,2
14301,Suburban,1937,F,1,1,,4037,10,25000,1,35.8,88.3,11,2,94.3,0,,2
4710,Rural,1960,M,1,1,,4418,8,72000,1,73,87.5,1,5,94.3,1,91,2
1610,Suburban,1944,M,1,1,,4647,9,24000,1,33.5,84.9,11,4,94.3,1,16,2
6307,Rural,1973,M,1,,,3790,8,48000,1,27.6,83.6,5,4,94.3,0,,2
6255,Suburban,1990,M,1,1,,5323,5,82000,1,56.5,81.9,4,9,94.3,0,,2
521,Rural,1934,F,1,1,,5881,10,66000,1,57.6,77.6,6,5,94.3,1,40,2
4441,Urban,1966,M,1,1,,4111,8,71000,1,36.9,76.5,2,7,94.3,1,77,2
16557,Rural,1961,M,0,1,,4819,8,54000,1,25.7,75.3,5,7,94.3,0,,2
16202,Suburban,1923,M,0,1,,5372,,20000,1,79.2,72.3,11,,94.3,0,,2
7346,Rural,1966,F,1,1,,3344,9,62000,1,17.5,97.4,4,5,94.4,0,,1
4040,Suburban,1948,F,1,1,,None,,,1,73.4,96.3,,,94.4,0,,1
842,Suburban,1947,M,1,1,,5259,8,76000,1,81.7,94.1,5,8,94.4,1,16,1
9791,Rural,1938,M,1,,,4084,10,18000,1,74.2,92.7,11,5,94.4,0,,1
17241,Rural,1955,F,1,1,,3559,9,63000,1,23.4,92.2,5,5,94.4,0,,1
14072,Suburban,1970,M,1,1,,3301,6,62000,1,21.8,91.9,2,5,94.4,0,,1
3053,Urban,1965,M,1,0,,3085,4,86000,1,39,89.6,3,10,94.4,1,63,1
4776,Suburban,1962,M,1,1,1,4250,8,89000,1,26,87.8,4,7,94.4,1,91,1
15519,Rural,1974,F,1,1,,4839,9,48000,1,34.4,86.9,4,1,94.4,0,,2
973,Rural,1943,M,1,1,,4802,4,63000,1,71.1,86.2,5,5,94.4,1,56,2
10488,Rural,1950,F,1,1,,4692,6,27000,1,52.3,85.4,10,4,94.4,0,,2
11776,Suburban,1947,M,1,1,1,5040,8,23000,1,31.8,84.2,2,2,94.4,0,,2
579,Suburban,1967,M,0,1,,4702,9,48000,1,23.8,84.1,5,4,94.4,1,37,2
557,Urban,1957,,0,1,,3229,,100000,1,70.5,82.7,3,8,94.4,1,78,2
7154,Suburban,1959,M,0,1,,4902,6,48000,1,32.1,80.6,7,4,94.4,0,,2
13406,Rural,1963,F,0,1,,5054,8,52000,1,49.7,79.7,11,8,94.4,0,,2
7440,Suburban,1952,M,1,1,,3063,9,50000,1,38.6,97.6,8,6,94.5,0,,1
16283,Rural,1941,F,1,1,,3058,9,51000,1,50,97.5,8,7,94.5,0,,1
4382,Rural,1948,M,1,1,,4278,8,41000,1,53.4,97.1,10,1,94.5,1,71,1
15682,Suburban,1946,F,1,1,,5244,6,76000,1,86.5,97,2,8,94.5,0,,1
12804,Rural,1938,F,1,1,1,5035,9,57000,1,58.3,96.7,8,8,94.5,0,,1
16719,Urban,1954,F,1,1,,5233,9,41000,1,79.5,95.5,2,3,94.5,0,,1
4658,Rural,1955,M,1,,,3739,,126000,1,39.9,94.2,4,,94.5,0,,1
12645,Rural,1963,F,1,1,,4027,4,130000,1,63.7,93.8,1,8,94.5,0,,1
3215,Suburban,1957,M,0,1,,4082,7,92000,1,64.7,93.1,4,7,94.5,1,26,1
7617,Rural,1946,F,1,,,5695,5,26000,1,72.8,90.8,10,4,94.5,0,,1
15340,Suburban,1955,,1,0,,5240,1,166000,1,79.9,89.8,1,10,94.5,0,,1
19694,Suburban,1954,M,0,1,,3706,,29000,1,71.3,89.5,10,,94.5,0,,1
19229,Suburban,1943,M,,1,,4016,9,73000,1,38.9,89.4,7,8,94.5,0,,1
5924,Suburban,1943,M,0,1,,4726,8,47000,1,42.5,88.7,8,6,94.5,0,,1
17728,Rural,1970,F,1,1,1,3765,9,74000,1,26.5,88.7,4,3,94.5,0,,1
3330,Suburban,1972,F,0,1,1,3118,6,92000,1,13.1,88.5,4,10,94.5,1,60,1
9123,Suburban,1965,F,1,1,1,3025,7,109000,1,11.2,88.3,4,8,94.5,0,,2
2823,Urban,1972,F,1,1,,3224,4,111000,1,30.6,87.7,1,9,94.5,1,68,2
14777,Suburban,1983,M,1,1,,4234,10,111000,1,48.5,86.9,1,6,94.5,0,,2
14815,Urban,1978,F,1,1,,5423,10,51000,1,44.4,86.8,9,4,94.5,0,,2
1039,Urban,1959,F,1,1,1,4078,9,70000,1,43,86.2,4,7,94.5,1,62,2
335,Rural,1955,F,1,,,3975,10,58000,1,23.2,86,8,2,94.5,1,84,2
17475,Rural,1966,M,1,1,,3138,7,60000,1,37.1,85.8,5,7,94.5,0,,2
18117,Rural,1948,M,1,1,,5711,,16000,1,62.4,85.8,11,1,94.5,0,,2
3061,Suburban,1958,M,1,1,,5506,7,66000,1,62.4,85.7,5,5,94.5,1,22,2
18538,Suburban,1948,M,0,1,,4326,6,51000,1,65.9,84.1,8,5,94.5,0,,2
14081,Rural,1940,M,1,1,,5387,5,53000,1,26.6,83.1,8,7,94.5,0,,2
10611,Suburban,1967,,0,1,,4133,,21000,1,51.2,81.8,11,,94.5,0,,2
10644,Suburban,1919,M,1,1,,5630,,13000,1,60.5,76.9,11,1,94.5,0,,2
7838,Suburban,1959,F,0,1,,4053,,45000,1,36.9,76.1,11,,94.5,0,,2
5984,Suburban,1935,F,1,1,,5178,4,51000,1,67.9,73,10,7,94.5,0,,2
14865,Rural,1963,F,1,1,,4627,9,46000,1,77.9,97.8,6,4,94.6,0,,1
10098,Rural,1948,F,0,,,3002,8,67000,1,75.8,97.5,6,9,94.6,0,,1
760,Suburban,1957,F,1,1,,5381,1,134000,1,71.4,96.4,1,9,94.6,1,81,1
4755,Suburban,1944,M,1,1,,4908,6,24000,1,79.1,96.3,11,2,94.6,1,24,1
18909,Rural,1935,M,1,1,,5508,10,47000,1,77.5,96,8,4,94.6,0,,1
13694,Rural,1951,F,1,1,1,4056,10,66000,1,52.7,94.2,4,4,94.6,0,,1
15962,Suburban,1951,M,1,1,,4422,8,54000,1,80.8,94.2,8,5,94.6,0,,1
16726,Rural,1941,M,1,,,3818,,45000,1,45.8,93.9,8,,94.6,0,,1
268,Suburban,1963,,1,,,4202,,,1,47.9,93.8,,,94.6,0,,1
8157,Suburban,1942,F,0,1,,5048,7,76000,1,49,89.9,5,8,94.6,0,,1
17848,Suburban,1983,F,1,1,,4519,7,79000,1,49.6,89.7,3,8,94.6,0,,1
14175,Rural,1961,F,1,1,,3065,9,75000,1,26,89.6,4,9,94.6,0,,1
14819,Rural,1956,F,1,1,,5368,9,31000,1,66.9,89.4,10,4,94.6,0,,1
16972,Rural,1974,M,0,1,,4900,5,67000,1,58.2,88.1,11,8,94.6,0,,2
1853,Suburban,1971,F,0,1,,3201,,101000,1,66.8,87.8,5,,94.6,0,,2
19577,Suburban,1951,M,0,1,,4706,,51000,1,53.6,87.2,8,,94.6,0,,2
5680,Rural,1933,F,0,1,,4641,,11000,1,69.3,86.4,11,1,94.6,0,,2
17471,Suburban,1964,F,1,1,1,4208,9,39000,1,43,85.4,10,2,94.6,0,,2
2105,Rural,1952,M,1,1,,4261,8,52000,1,56.2,85.2,2,8,94.6,1,37,2
2520,Suburban,1950,F,1,1,1,5248,1,118000,1,58.4,84.7,3,8,94.6,1,17,2
17651,Suburban,1951,F,1,1,,4640,9,41000,1,40.8,83,8,2,94.6,0,,2
6887,Suburban,1945,M,0,1,,3147,8,54000,1,76.5,82.6,8,8,94.6,0,,2
5214,Suburban,1954,F,1,1,,3123,7,72000,1,42.6,82.4,8,6,94.6,0,,2
12357,Urban,1950,F,0,1,,4143,10,23000,1,67.6,82,8,4,94.6,0,,2
19218,Rural,1958,,0,,,5664,,23000,1,48.1,79.2,11,,94.6,0,,2
14656,Suburban,1958,F,0,1,,3135,,70000,1,68.4,95.1,7,,94.7,0,,1
12812,Rural,1952,M,1,1,,3733,10,49000,1,30.8,94.9,6,5,94.7,0,,1
7552,Rural,1942,F,1,1,,4616,10,18000,1,59.4,93.5,11,6,94.7,0,,1
14945,Rural,1952,M,0,,,3771,,28000,1,55.4,93.1,10,,94.7,0,,1
17078,Suburban,1964,F,1,1,,4422,9,68000,1,36.8,91.6,3,5,94.7,0,,1
4959,Rural,1955,F,1,1,,3322,10,43000,1,27.7,89.3,9,4,94.7,1,34,1
15895,Suburban,1967,M,1,1,1,5230,5,105000,1,48,87.8,2,9,94.7,0,,1
10405,Suburban,1983,F,1,0,,3022,2,45000,1,21.9,87.6,9,9,94.7,0,,1
239,Suburban,1992,,0,,,5706,,,1,74.1,87.4,,,94.7,0,,1
10562,Suburban,1957,,0,1,,5042,5,103000,1,79,86,2,8,94.7,0,,1
12558,Suburban,1968,M,1,1,,3956,6,53000,1,52,84.8,4,5,94.7,0,,2
4848,Rural,1968,F,1,1,,4697,6,49000,1,34.6,84.7,3,2,94.7,1,100,2
7391,Urban,1980,F,1,0,,4132,9,56000,1,79.8,84.6,7,8,94.7,0,,2
10740,Suburban,1969,F,1,0,,5423,6,69000,1,49.2,83.6,11,8,94.7,0,,2
14888,Rural,1961,F,1,1,,5690,3,75000,1,44.7,83.6,3,7,94.7,0,,2
7562,Rural,1992,F,0,,,5701,9,33000,1,65.9,83.6,10,5,94.7,0,,2
19174,Urban,1958,M,0,,,3209,8,42000,1,28.1,79.4,10,4,94.7,0,,2
16907,Suburban,1983,,0,1,,4038,8,54000,1,15.4,78.2,8,5,94.7,0,,2
367,Suburban,1956,F,0,,,3613,10,53000,1,41.9,76.4,8,5,94.7,1,42,2
2774,Rural,1932,,1,,,3045,,,1,44.6,72.7,,,94.7,0,,2
15164,Rural,1958,F,1,1,,3431,7,52000,1,62,96.8,3,5,94.8,0,,1
14611,Rural,1943,F,1,1,,3432,9,25000,1,77.8,96.3,10,4,94.8,0,,1
9767,Rural,1940,M,1,,,3166,9,43000,1,53.7,95.2,9,2,94.8,0,,1
16570,Rural,1960,M,0,,,4665,7,45000,1,57.3,93.8,7,1,94.8,0,,1
10448,Rural,1963,F,1,,,3579,,122000,1,75.6,92.5,3,,94.8,0,,1
1352,Suburban,1948,F,1,,,4141,10,54000,1,82.3,90.9,7,6,94.8,1,28,1
11529,Suburban,1955,M,1,1,,4039,8,63000,1,67.5,90.3,1,7,94.8,0,,1
3449,Rural,1980,M,1,1,,4837,6,81000,1,56.5,90.2,3,9,94.8,1,83,1
15078,Urban,1957,F,0,,,4133,,16000,1,79.2,88.2,11,,94.8,0,,1
9697,Suburban,1966,F,0,1,,4145,9,72000,1,70.8,87.3,2,5,94.8,0,,1
11687,Urban,1950,F,0,1,,5406,10,39000,1,14.2,86.6,2,1,94.8,0,,1
544,Suburban,1957,M,0,1,,4265,8,48000,1,24.1,86.4,1,9,94.8,1,26,1
20045,Urban,1956,M,1,1,,4148,10,45000,1,30,86.3,6,4,94.8,0,,2
5989,Rural,1973,F,1,1,,5359,7,62000,1,35.1,86.2,5,5,94.8,0,,2
15024,Suburban,1977,F,0,1,,5320,7,62000,1,55.2,85.7,11,8,94.8,0,,2
2712,Rural,1979,F,1,1,,3012,,17000,1,80.4,82.4,11,1,94.8,1,17,2
3728,Rural,1938,M,1,1,,3794,,17000,1,29.3,81.9,10,1,94.8,1,6,2
8099,Urban,1983,F,1,0,,4112,10,39000,1,22.3,81.4,2,1,94.8,0,,2
12638,Rural,1945,F,0,1,,5638,5,47000,1,28.8,81.4,6,1,94.8,0,,2
9514,Rural,1940,F,0,,,5698,5,23000,1,28.1,80,11,7,94.8,0,,2
6515,Suburban,1948,M,1,1,,3932,10,31000,1,71.6,79.2,10,2,94.8,0,,2
9978,Urban,1990,,0,,,3203,,,1,68.9,78.3,,,94.8,0,,2
630,Urban,1980,M,1,1,,4119,5,74000,1,68.7,74.8,3,6,94.8,1,72,2
8610,Suburban,1962,M,1,1,,5013,7,71000,1,65.9,97.6,5,6,94.9,0,,1
769,Rural,1948,F,1,1,,3512,8,43000,1,73.2,97.4,8,4,94.9,1,7,1
3795,Rural,1943,M,1,,,5125,6,90000,1,57.1,96.4,10,10,94.9,1,22,1
10645,Rural,1949,F,1,,,3792,,,1,66.4,95.9,,,94.9,0,,1
6022,Rural,1942,F,1,1,,4820,,15000,1,62.7,95.6,11,1,94.9,0,,1
10870,Rural,1941,M,1,1,,3517,,47000,1,70.1,92.7,11,,94.9,0,,1
12958,Suburban,1962,M,1,,,4710,6,78000,1,65.4,87.2,2,7,94.9,0,,1
3297,Suburban,1950,,0,1,,4643,7,51000,1,64.3,86.1,5,7,94.9,1,21,1
9925,Suburban,1971,M,1,1,,4425,8,52000,1,47.2,86.1,4,5,94.9,0,,1
19968,Suburban,1979,F,1,1,,5244,,63000,1,38.5,86,8,,94.9,0,,1
16965,Suburban,1955,F,1,1,1,5018,9,51000,1,32.3,85,1,2,94.9,0,,1
3722,Urban,1947,,0,,,3217,6,17000,1,78.2,84,11,2,94.9,1,22,1
12444,Suburban,1947,M,1,1,,5323,6,65000,1,35.1,83.4,6,5,94.9,0,,2
16367,Urban,1982,,0,,,5219,,,1,34.9,83.4,,,94.9,0,,2
6180,Rural,1964,M,0,1,,3137,4,97000,1,44.3,82.6,4,9,94.9,0,,2
7953,Urban,1964,,1,,,4148,,50000,1,41.9,82.3,9,,94.9,0,,2
19522,Rural,1965,M,1,1,,4442,9,49000,1,29.8,82.1,2,7,94.9,0,,2
16100,Rural,1981,F,0,,,3849,5,66000,1,21.2,81.7,3,7,94.9,0,,2
3512,Suburban,1952,F,1,1,,3065,9,53000,1,51.9,81.1,5,9,94.9,1,9,2
19041,Suburban,1951,F,0,,,5245,,24000,1,42.7,80.3,11,,94.9,0,,2
14217,Rural,1951,F,1,1,,5364,8,50000,1,48.4,79.8,2,6,94.9,0,,2
1743,Urban,1968,F,0,,,3214,,75000,1,51.2,74.4,6,,94.9,0,,2
17954,Urban,1997,,0,,,4129,,,1,88.7,72.7,,,94.9,0,,2
14035,Rural,1952,M,1,1,,3336,5,72000,1,44.7,97.8,4,5,95,0,,1
9273,Suburban,1963,M,1,1,,4133,8,83000,1,82.6,97.6,2,8,95,0,,1
18300,Suburban,1966,M,1,1,,4514,10,50000,1,57.8,97.5,5,4,95,0,,1
10503,Urban,1964,M,0,1,,4109,9,67000,1,70.2,96.7,5,7,95,0,,1
1084,Rural,1942,F,1,,,5821,9,51000,1,39.6,96.6,1,5,95,1,24,1
17401,Rural,1944,M,1,1,,4812,9,43000,1,57.2,96.3,8,4,95,0,,1
16600,Rural,1971,F,0,1,,4630,6,69000,1,42.7,95.6,10,4,95,0,,1
12382,Suburban,1946,,1,,,4135,,74000,1,77.2,95.1,5,,95,0,,1
3840,Rural,1949,,1,1,,5753,6,49000,1,62.3,94.6,8,8,95,1,21,1
4045,Suburban,1942,M,1,1,,3611,10,20000,1,66.6,94.4,11,1,95,1,41,1
11051,Rural,1955,F,1,,,5703,4,72000,1,61.9,93.7,10,9,95,0,,1
6999,Urban,1932,F,0,1,,4120,10,15000,1,78.7,92.6,11,2,95,0,,1
5338,Suburban,1968,,0,1,,3052,,62000,1,68.5,92.4,6,,95,0,,1
10466,Suburban,1947,F,1,1,,5346,,44000,1,77.6,91.6,11,,95,0,,1
3363,Urban,1972,M,1,1,,3068,7,83000,1,29.7,91.3,6,9,95,1,72,1
3534,Suburban,1958,F,1,1,,5007,7,103000,1,49.5,89.5,3,7,95,1,58,1
1710,Rural,1957,M,0,,,3449,1,121000,1,30.5,89.1,5,8,95,1,36,2
504,Urban,1961,F,1,1,,3225,6,47000,1,61.2,88.2,9,4,95,1,54,2
2070,Suburban,1980,M,1,1,,4133,4,75000,1,23.5,85.9,4,10,95,1,85,2
5193,Urban,1978,M,1,1,,5225,4,62000,1,29.6,85,5,4,95,0,,2
7028,Urban,1960,F,1,1,,4122,9,75000,1,60.3,84.4,4,5,95,0,,2
3375,Suburban,1971,F,1,1,1,4078,9,52000,1,39.2,83.8,6,7,95,1,51,2
13298,Suburban,1958,F,1,0,,3616,5,76000,1,26.8,83.2,3,7,95,0,,2
3493,Suburban,1957,F,0,1,,4124,,99000,1,35.3,82.6,3,,95,0,,2
5204,Rural,1984,F,0,1,,4048,8,75000,1,42.6,81,5,8,95,0,,2
5645,Rural,1924,M,1,1,,3953,9,19000,1,76.2,81,11,4,95,0,,2
14730,Suburban,1946,M,1,1,,4030,10,53000,1,48.5,80.1,7,6,95,0,,2
13914,Suburban,1939,F,0,1,,4876,10,16000,1,46.5,79.1,11,6,95,0,,2
7618,Suburban,1935,,0,,,5148,10,25000,1,35.9,78.8,11,4,95,0,,2
16538,Urban,1975,M,0,,,3207,7,51000,1,18.9,76.6,8,5,95,0,,2
912,Suburban,1968,M,0,0,,3614,,72000,1,30.8,71.7,6,,95,0,,2
12504,Suburban,1948,F,1,1,,5805,6,42000,1,90.8,98.2,8,6,95.1,0,,1
6888,Rural,1944,F,1,,,5874,,26000,1,40.8,98.1,10,2,95.1,0,,1
17442,Suburban,1959,F,1,,,4706,4,92000,1,79.6,96.8,1,9,95.1,0,,1
18135,Rural,1953,F,0,,,5311,10,20000,1,71.4,96.2,10,3,95.1,0,,1
2371,Rural,1968,M,0,1,,4057,10,78000,1,44.7,96.1,5,9,95.1,1,54,1
4783,Suburban,1963,M,1,1,,4735,9,51000,1,40.7,95.7,7,4,95.1,1,48,1
15789,Rural,1943,M,1,1,,3515,,16000,1,70.8,93.5,10,1,95.1,0,,1
10883,Urban,1979,M,0,1,,3231,,54000,1,67.1,93.2,8,,95.1,0,,1
12311,Suburban,1933,M,1,1,,5438,10,23000,1,50,92.7,11,1,95.1,0,,1
15573,Rural,1965,M,1,1,1,4037,8,70000,1,26.7,91.8,4,5,95.1,0,,1
6472,Rural,1944,F,1,1,,4649,6,54000,1,79.4,90.6,8,8,95.1,0,,1
543,Rural,1930,F,0,1,,5308,,21000,1,65.6,90.5,11,1,95.1,1,17,1
13463,Urban,1951,F,1,,,None,1,,1,52.4,90.5,,7,95.1,0,,1
11866,Suburban,1976,F,1,1,,4133,8,87000,1,20,88.7,4,9,95.1,0,,2
2951,Suburban,1961,M,1,1,,3428,8,50000,1,23,88.3,10,4,95.1,1,42,2
7506,Urban,1960,M,1,1,,3082,7,67000,1,61,88.3,9,7,95.1,0,,2
13454,Suburban,1962,F,1,1,,4237,7,121000,1,26.3,88.3,2,9,95.1,0,,2
11590,Suburban,1973,F,1,1,,4703,3,45000,1,22.8,88.1,7,3,95.1,0,,2
11311,Suburban,1977,F,1,1,,5107,,87000,1,34.9,87.1,4,,95.1,0,,2
8694,Urban,1977,M,1,1,,5201,1,228000,1,45,87.1,2,8,95.1,0,,2
13604,Rural,1945,M,0,1,,5606,,17000,1,36.7,80.9,11,1,95.1,0,,2
5502,Urban,1970,F,0,,,4111,,54000,1,66.9,80.7,5,,95.1,0,,2
8332,Rural,1954,,1,,,4047,,,1,27.6,78,,,95.1,0,,2
5656,Urban,1988,,0,,,5413,,72000,1,81.6,75.3,8,,95.1,0,,2
13262,Suburban,1926,M,1,,,4405,1,135000,1,75.7,70.4,3,8,95.1,0,,2
14941,Rural,1945,F,1,1,,3962,10,23000,1,65,97.5,11,2,95.2,0,,1
2281,Suburban,1957,M,1,1,,5430,5,78000,1,87.2,95.9,1,7,95.2,1,28,1
18561,Suburban,1954,F,0,1,,5417,,15000,1,90.1,95.9,11,1,95.2,0,,1
16596,Rural,1958,F,0,,,3510,,98000,1,82.3,95.8,4,,95.2,0,,1
19898,Suburban,1935,M,1,,,5506,8,25000,1,70,95.6,11,2,95.2,0,,1
1609,Rural,1946,M,1,1,,5607,7,22000,1,52,95.4,11,6,95.2,1,34,1
13279,Suburban,1937,F,1,1,,5457,6,84000,1,71.9,95.3,5,8,95.2,0,,1
14190,Rural,1966,M,1,1,,4255,7,106000,1,39.2,95.2,3,8,95.2,0,,1
9581,Rural,1944,M,1,1,,4420,,13000,1,61.2,94.8,11,1,95.2,0,,1
13083,Suburban,1934,M,0,1,,5239,9,24000,1,82.5,94.1,11,4,95.2,0,,1
3726,Rural,1956,F,1,1,,4414,8,92000,1,39.7,91.4,7,10,95.2,1,21,1
4038,Suburban,1946,M,1,,,4148,9,51000,1,72.1,91,7,8,95.2,1,13,1
13930,Suburban,1969,F,1,1,,None,1,,1,48.9,90.9,,7,95.2,0,,1
19699,Rural,1964,F,1,1,1,4882,9,88000,1,10.4,90.8,4,8,95.2,0,,1
13453,Rural,1977,F,1,,,3050,6,83000,1,60.7,90.1,4,10,95.2,0,,1
13243,Suburban,1980,F,1,1,,5445,10,89000,1,33.9,89.7,4,4,95.2,0,,1
7999,Suburban,1979,F,1,1,,3033,6,67000,1,21.1,89,7,9,95.2,0,,2
19695,Urban,1977,,1,,,3211,4,60000,1,20,88.1,6,5,95.2,0,,2
2755,Suburban,1962,M,1,,,4649,6,56000,1,81.3,87.5,6,7,95.2,1,63,2
13120,Rural,1970,F,1,,,5371,7,22000,1,40.5,85.4,11,5,95.2,0,,2
14661,Suburban,1937,F,1,1,,5254,,18000,1,31.8,85.2,11,2,95.2,0,,2
14825,Suburban,1961,M,0,,,4239,,121000,1,77.5,85.2,4,,95.2,0,,2
1444,Suburban,1966,F,0,1,,4728,3,110000,1,40.1,84.1,4,9,95.2,0,,2
2090,Urban,1977,M,0,1,,4013,9,69000,1,45,82.6,6,4,95.2,1,79,2
1294,Rural,1967,F,0,1,,4419,10,11000,1,47.4,80.7,11,4,95.2,1,15,2
14388,Suburban,1955,,1,,,4142,,,1,53.9,80.7,,,95.2,0,,2
588,Rural,1976,M,1,,,3721,6,157000,1,28.9,80.3,2,5,95.2,1,44,2
8277,Urban,1965,F,0,,,3228,,12000,1,36.3,80.3,11,,95.2,0,,2
16708,Rural,1958,M,0,,1,3966,8,61000,1,33.7,79.6,6,7,95.2,0,,2
17684,Suburban,1984,,0,0,,4034,,47000,1,46.3,79.3,11,,95.2,0,,2
3433,Rural,1951,F,1,1,,3132,8,25000,1,34.4,76.3,11,2,95.2,1,22,2
500,Suburban,1953,F,1,,,4448,8,52000,1,28.6,76,6,3,95.2,1,54,2
5121,Rural,1947,,1,1,,4878,4,22000,1,66,97.3,11,2,95.3,0,,1
9868,Rural,1947,F,1,,,4046,,86000,1,69.3,95.8,8,,95.3,0,,1
138,Rural,1940,F,1,1,,3444,9,49000,1,61.1,95.6,8,7,95.3,1,17,1
11826,Rural,1952,F,1,1,,5714,,15000,1,53.3,94.8,11,,95.3,0,,1
5281,Suburban,1961,F,1,1,,4511,6,91000,1,44.1,94.1,3,8,95.3,0,,1
11849,Rural,1941,F,1,1,,4009,10,14000,1,38.9,93.3,11,4,95.3,0,,1
13758,Suburban,1952,F,0,1,,5232,,72000,1,84.7,93.1,1,,95.3,0,,1
10477,Suburban,1940,F,0,,,4222,10,18000,1,68,92.4,11,5,95.3,0,,1
15574,Rural,1968,F,1,1,,5340,,50000,1,41.6,91.3,7,,95.3,0,,1
9509,Suburban,1971,F,1,1,,4669,6,74000,1,70.4,91.1,5,8,95.3,0,,1
6823,Rural,1953,M,1,,,4417,10,35000,1,56.8,89.9,9,5,95.3,0,,1
3176,Suburban,1925,M,1,1,,4061,10,40000,1,51.3,89.1,9,5,95.3,1,18,1
12499,Rural,1956,F,1,,,3452,9,75000,1,69.8,88.4,3,9,95.3,0,,1
924,Suburban,1957,,1,1,,4223,2,119000,1,26.4,88.1,4,9,95.3,1,87,1
1077,Urban,1925,F,1,1,,5420,10,13000,1,70.3,88.1,11,2,95.3,1,19,2
5783,Rural,1940,M,1,1,,5124,9,66000,1,65.6,87.5,11,8,95.3,0,,2
3610,Suburban,1979,F,1,,,5258,,,1,36,85.8,,,95.3,0,,2
8298,Suburban,1961,M,0,1,,3567,,87000,1,35.5,85.5,4,,95.3,0,,2
721,Urban,1954,F,0,1,,5218,6,46000,1,59,84.7,8,1,95.3,1,99,2
16440,Rural,1958,F,1,1,1,4825,4,75000,1,33.3,84.6,6,9,95.3,0,,2
14752,Suburban,1953,M,1,1,1,4036,10,25000,1,30.7,84.2,9,2,95.3,0,,2
4417,Urban,1977,,0,0,,4106,,43000,1,70.2,83.9,8,,95.3,0,,2
2308,Suburban,1986,F,0,1,,5341,,72000,1,70.5,83.5,10,,95.3,0,,2
3450,Rural,1981,F,1,,,None,2,44000,1,27.6,82.4,8,2,95.3,1,56,2
8745,Urban,1997,,0,,,4125,,,1,90.1,79.7,,,95.3,0,,2
691,Rural,1937,M,0,1,,4831,,11000,1,47.5,78.1,11,1,95.3,1,7,2
3630,Urban,1976,M,0,,,4101,,15000,1,68,77.3,11,,95.3,0,,2
11655,Suburban,1969,F,0,,,4057,10,43000,1,24.2,77.2,8,4,95.3,0,,2
9568,Rural,1951,M,1,1,,4087,10,72000,1,72.8,97.6,4,7,95.4,0,,1
2840,Suburban,1953,F,1,1,,5326,8,42000,1,81.7,97.6,4,4,95.4,1,16,1
6577,Suburban,1963,M,1,1,1,3028,4,114000,1,47.5,96.3,1,9,95.4,0,,1
5616,Suburban,1946,F,1,1,,3539,9,53000,1,69.1,94.7,7,7,95.4,0,,1
4216,Suburban,1964,F,0,1,,5247,,52000,1,85.2,94.3,6,,95.4,0,,1
3333,Rural,1968,F,1,1,1,4611,10,52000,1,37.2,94.1,5,1,95.4,1,99,1
8051,Suburban,1969,F,1,1,1,4018,7,114000,1,50.4,92.4,2,9,95.4,0,,1
